EntryPrice,win_loss,long_short,entry_month,entry_date,entry_day,entry_hour
1.3566,loss,short,4,23,0,8
1.3566,loss,short,4,23,0,8
1.3568,loss,short,4,24,1,0
1.3568,loss,short,4,24,1,0
1.3568,loss,short,4,24,1,0
1.36015,loss,short,4,26,3,12
1.36015,loss,short,4,26,3,12
1.36015,win,short,4,26,3,12
1.36125,win,short,4,30,0,4
1.36125,win,short,4,30,0,4
1.36172,win,short,5,1,1,12
1.36172,win,short,5,1,1,12
1.35537,loss,short,5,3,3,12
1.35537,win,short,5,3,3,12
1.35537,win,short,5,3,3,12
1.35262,win,short,5,8,1,8
1.35262,win,short,5,8,1,8
1.35262,win,short,5,8,1,8
1.35262,win,short,5,8,1,8
1.3457,win,short,6,7,3,8
1.34455,win,short,6,3,6,20
1.34329,win,short,6,1,4,4
1.34229,win,short,5,30,2,4
1.34435,win,short,5,29,1,16
1.34227,win,short,5,28,0,20
1.34465,win,short,5,27,6,12
1.34565,win,short,5,23,2,16
1.35033,win,short,5,21,0,0
1.35211,win,short,5,16,2,16
1.35936,win,short,5,15,1,8
1.35262,win,short,5,8,1,8
1.33768,win,long,6,15,4,12
1.33788,win,long,6,21,3,4
1.33788,win,long,6,21,3,4
1.33903,loss,short,6,21,3,16
1.34254,loss,long,6,22,4,4
1.34383,loss,short,6,27,2,4
1.34383,loss,short,6,27,2,4
1.34428,loss,short,6,27,2,12
1.34428,loss,short,6,27,2,12
1.34428,loss,short,6,27,2,12
1.34446,loss,short,6,28,3,16
1.37272,win,short,7,25,2,4
1.34522,loss,short,6,29,4,0
1.34446,loss,short,6,28,3,16
1.36992,loss,long,7,31,1,0
1.38007,loss,long,8,3,4,12
1.37007,win,long,8,2,3,16
1.36992,win,long,7,31,1,0
1.37548,loss,short,8,7,1,20
1.37059,win,short,8,9,3,8
1.37704,win,short,8,8,2,4
1.37548,win,short,8,7,1,20
1.34739,loss,long,8,17,4,12
1.34739,win,long,8,17,4,12
1.34888,loss,short,8,20,0,4
1.34876,loss,long,8,21,1,8
1.34526,loss,short,8,21,1,16
1.34526,loss,short,8,21,1,16
1.3574,loss,short,8,28,1,20
1.3574,loss,short,8,28,1,20
1.3635,loss,short,8,30,3,8
1.3635,loss,short,8,30,3,8
1.36276,loss,short,9,2,6,12
1.36276,loss,short,9,2,6,12
1.36276,loss,short,9,2,6,12
1.36239,loss,short,9,3,0,12
1.359,loss,short,9,5,2,4
1.41198,win,short,10,8,0,0
1.41052,win,short,10,3,2,12
1.41518,win,short,10,2,1,8
1.38655,loss,short,9,18,1,4
1.36239,loss,short,9,3,0,12
1.41464,win,long,10,10,2,4
1.41565,loss,short,10,16,1,8
1.41565,loss,short,10,16,1,8
1.41842,loss,short,10,17,2,0
1.41842,loss,short,10,17,2,0
1.41842,loss,short,10,17,2,0
1.41938,loss,short,10,17,2,8
1.41938,loss,short,10,17,2,8
1.41444,loss,short,10,22,0,8
1.41444,loss,short,10,22,0,8
1.41444,loss,short,10,22,0,8
1.42267,loss,short,10,24,2,8
1.42267,loss,short,10,24,2,8
1.42267,loss,short,10,24,2,8
1.45535,loss,short,11,12,0,8
1.45535,loss,short,11,12,0,8
1.45535,loss,short,11,12,0,8
1.45535,loss,short,11,12,0,8
1.46067,loss,short,11,13,1,8
1.46611,win,short,12,5,2,8
1.47353,win,short,11,29,3,4
1.48124,win,short,11,28,2,0
1.47966,win,short,11,23,4,8
1.46695,win,short,11,20,1,0
1.46143,loss,short,11,15,3,16
1.46264,loss,short,11,15,3,8
1.46067,loss,short,11,13,1,8
1.47225,loss,long,12,10,0,8
1.47225,loss,long,12,10,0,8
1.46957,loss,long,12,12,2,4
1.44135,win,long,12,26,2,0
1.43982,win,long,12,24,0,12
1.47116,loss,long,12,12,2,16
1.46957,loss,long,12,12,2,4
1.45916,loss,short,12,31,0,20
1.45916,loss,short,12,31,0,20
1.4588,loss,short,1,1,1,8
1.4588,loss,short,1,1,1,8
1.4588,loss,short,1,1,1,8
1.47175,win,short,1,7,0,8
1.47175,loss,short,1,7,0,8
1.46892,loss,short,1,7,0,16
1.46892,loss,short,1,7,0,16
1.4651,loss,short,1,9,2,12
1.4651,loss,short,1,9,2,12
1.48276,loss,short,1,15,1,20
1.46515,win,short,1,16,2,16
1.48075,win,short,1,16,2,8
1.48276,win,short,1,15,1,20
1.46692,loss,long,1,22,1,16
1.46692,win,long,1,22,1,16
1.46131,win,long,1,23,2,20
1.46131,win,long,1,23,2,20
1.46131,loss,long,1,23,2,20
1.46865,loss,long,1,27,6,16
1.46865,loss,long,1,27,6,16
1.47107,win,long,2,20,2,16
1.45907,win,long,2,14,3,8
1.45689,win,long,2,13,2,16
1.4537,win,long,2,13,2,8
1.45885,win,long,2,12,1,12
1.4815,loss,long,2,4,0,4
1.46865,win,long,1,27,6,16
1.53142,loss,short,3,11,1,12
1.53142,loss,short,3,11,1,12
1.56738,loss,short,3,18,1,20
1.56738,win,short,3,18,1,20
1.56378,win,short,3,19,2,16
1.56378,loss,short,3,19,2,16
1.56378,loss,short,3,19,2,16
1.56386,loss,short,4,1,1,4
1.56386,loss,short,4,1,1,4
